CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,49,1,77183.6,2,1,5,8,Clients Perdus
12347.0,41,2,1187.18,3,4,5,12,Clients Fidèles
12348.0,42,2,1120.24,3,4,5,12,Clients Fidèles
12350.0,34,1,334.4,3,1,3,7,Clients Ordinaires
12352.0,7,3,1281.15,5,4,5,14,Champions
12356.0,49,1,2271.62,2,1,5,8,Clients Perdus
12359.0,29,2,2386.41,3,4,5,12,Clients Fidèles
12361.0,11,1,189.9,5,1,2,8,Nouveaux Clients
12362.0,19,1,479.1,4,1,3,8,Nouveaux Clients
12365.0,15,2,641.38,4,4,4,12,Champions
12370.0,81,2,1864.27,2,4,5,11,À Risque
12372.0,20,1,399.22,4,1,3,8,Nouveaux Clients
12373.0,35,1,364.6,3,1,3,7,Clients Ordinaires
12377.0,39,2,1628.12,3,4,5,12,Clients Fidèles
12383.0,55,2,1251.88,2,4,5,11,À Risque
12386.0,61,2,401.9,2,4,3,9,À Risque
12388.0,29,2,555.35,3,4,4,11,Clients Fidèles
12393.0,53,2,639.5,2,4,4,10,À Risque
12395.0,25,3,911.43,4,4,4,12,Champions
12401.0,27,1,84.3,3,1,1,5,Clients Ordinaires
12402.0,47,1,225.6,2,1,2,5,Clients Perdus
12410.0,32,2,693.3299999999999,3,4,4,11,Clients Fidèles
12413.0,61,1,479.25,2,1,3,6,Clients Perdus
12414.0,34,1,153.76,3,1,1,5,Clients Ordinaires
12415.0,5,4,37842.74,5,5,5,15,Champions
12417.0,5,3,1024.78,5,4,5,14,Champions
12421.0,43,1,157.45,2,1,1,4,Clients Perdus
12422.0,48,1,238.5,2,1,2,5,Clients Perdus
12423.0,15,2,430.24,4,4,3,11,Clients Fidèles
12427.0,95,1,303.5,1,1,2,4,Clients Perdus
12428.0,7,3,4969.22,5,4,5,14,Champions
12429.0,89,1,1281.5,1,1,5,7,Clients Perdus
12431.0,9,5,2143.78,5,5,5,15,Champions
12433.0,90,2,3787.12,1,4,5,10,À Risque
12437.0,13,4,982.9599999999999,4,5,5,14,Champions
12441.0,90,1,173.55,1,1,1,3,Clients Perdus
12451.0,48,1,2919.5099999999998,2,1,5,8,Clients Perdus
12455.0,19,2,1698.9,4,4,5,13,Champions
12458.0,8,1,441.92,5,1,3,9,Nouveaux Clients
12462.0,27,1,762.11,3,1,4,8,Clients Ordinaires
12464.0,8,2,363.84999999999997,5,4,3,12,Clients Fidèles
12468.0,40,1,220.59,3,1,2,6,Clients Ordinaires
12471.0,13,7,5928.11,4,5,5,14,Champions
12472.0,41,2,2456.66,3,4,5,12,Clients Fidèles
12474.0,11,4,887.38,5,5,4,14,Champions
12476.0,22,3,722.23,4,4,4,12,Champions
12477.0,25,1,2355.9500000000003,4,1,5,10,Nouveaux Clients
12480.0,60,1,816.25,2,1,4,7,Clients Perdus
12481.0,60,3,1394.43,2,4,5,11,À Risque
12483.0,63,1,547.56,2,1,4,7,Clients Perdus
12484.0,60,1,1138.67,2,1,5,8,Clients Perdus
12489.0,60,1,334.93,2,1,3,6,Clients Perdus
12490.0,53,1,864.22,2,1,4,7,Clients Perdus
12494.0,19,3,312.55,4,4,2,10,Clients Prometteurs
12500.0,5,3,968.76,5,4,4,13,Champions
12501.0,60,1,2169.39,2,1,5,8,Clients Perdus
12502.0,33,1,617.25,3,1,4,8,Clients Ordinaires
12507.0,22,1,446.16,4,1,3,8,Nouveaux Clients
12509.0,8,1,176.5,5,1,1,7,Nouveaux Clients
12510.0,49,1,681.05,2,1,4,7,Clients Perdus
12515.0,77,1,383.7,2,1,3,6,Clients Perdus
12523.0,15,2,246.35,4,4,2,10,Clients Prometteurs
12524.0,5,3,1338.17,5,4,5,14,Champions
12527.0,18,2,284.92,4,4,2,10,Clients Prometteurs
12528.0,36,1,493.53000000000003,3,1,3,7,Clients Ordinaires
12530.0,60,1,387.40000000000003,2,1,3,6,Clients Perdus
12539.0,40,2,3431.7,3,4,5,12,Clients Fidèles
12540.0,35,3,2317.17,3,4,5,12,Clients Fidèles
12541.0,4,1,312.4,5,1,2,8,Nouveaux Clients
12547.0,4,1,159.4,5,1,1,7,Nouveaux Clients
12551.0,81,1,168.0,2,1,1,4,Clients Perdus
12553.0,4,3,1023.86,5,4,5,14,Champions
12557.0,56,2,4037.1200000000003,2,4,5,11,À Risque
12559.0,34,2,561.71,3,4,4,11,Clients Fidèles
12561.0,26,1,238.85,4,1,2,7,Nouveaux Clients
12565.0,12,1,145.92,5,1,1,7,Nouveaux Clients
12567.0,32,3,3179.11,3,4,5,12,Clients Fidèles
12574.0,39,1,218.45,3,1,2,6,Clients Ordinaires
12576.0,28,1,266.85,3,1,2,6,Clients Ordinaires
12577.0,83,1,195.89,1,1,2,4,Clients Perdus
12578.0,54,1,1608.66,2,1,5,8,Clients Perdus
12582.0,12,1,205.16,5,1,2,8,Nouveaux Clients
12583.0,26,3,1907.58,4,4,5,13,Champions
12584.0,4,1,463.63,5,1,3,9,Nouveaux Clients
12585.0,75,1,1262.85,2,1,5,8,Clients Perdus
12591.0,41,1,452.84999999999997,3,1,3,7,Clients Ordinaires
12594.0,18,2,597.0,4,4,4,12,Champions
12598.0,8,1,720.86,5,1,4,10,Nouveaux Clients
12599.0,9,2,312.46000000000004,5,4,2,11,Clients Prometteurs
12600.0,33,3,702.74,3,4,4,11,Clients Fidèles
12601.0,26,2,257.36,4,4,2,10,Clients Prometteurs
12609.0,42,1,287.93,3,1,2,6,Clients Ordinaires
12614.0,1,1,315.6,5,1,3,9,Nouveaux Clients
12616.0,21,1,255.6,4,1,2,7,Nouveaux Clients
12621.0,15,4,2918.89,4,5,5,14,Champions
12625.0,43,1,1716.62,2,1,5,8,Clients Perdus
12626.0,40,2,1274.1,3,4,5,12,Clients Fidèles
12633.0,11,1,1012.82,5,1,5,11,Nouveaux Clients
12637.0,47,1,1516.68,2,1,5,8,Clients Perdus
12643.0,56,1,871.1999999999999,2,1,4,7,Clients Perdus
12645.0,40,1,369.29999999999995,3,1,3,7,Clients Ordinaires
12647.0,81,4,1193.6,2,5,5,12,À Risque
12651.0,58,1,114.0,2,1,1,4,Clients Perdus
12652.0,55,1,919.98,2,1,4,7,Clients Perdus
12653.0,20,1,779.1,4,1,4,9,Nouveaux Clients
12654.0,19,1,166.6,4,1,1,6,Nouveaux Clients
12662.0,33,2,598.1800000000001,3,4,4,11,Clients Fidèles
12664.0,46,1,661.58,2,1,4,7,Clients Perdus
12665.0,48,1,63.0,2,1,1,4,Clients Perdus
12668.0,36,2,1479.67,3,4,5,12,Clients Fidèles
12672.0,53,1,225.89999999999998,2,1,2,5,Clients Perdus
12673.0,50,1,220.9,2,1,2,5,Clients Perdus
12676.0,35,1,509.5,3,1,3,7,Clients Ordinaires
12678.0,8,3,574.71,5,4,4,13,Champions
12679.0,7,1,794.06,5,1,4,10,Nouveaux Clients
12681.0,36,6,5082.53,3,5,5,13,Clients Fidèles
12682.0,34,5,2912.14,3,5,5,13,Clients Fidèles
12683.0,7,4,2147.42,5,5,5,15,Champions
12686.0,95,1,89.14,1,1,1,3,Clients Perdus
12691.0,42,3,406.2,3,4,3,10,Clients Fidèles
12693.0,43,1,162.05,2,1,1,4,Clients Perdus
12705.0,81,1,858.0,2,1,4,7,Clients Perdus
12707.0,15,1,603.42,4,1,4,9,Nouveaux Clients
12708.0,1,3,763.72,5,4,4,13,Champions
12709.0,7,4,3165.09,5,5,5,15,Champions
12712.0,1,5,1254.73,5,5,5,15,Champions
12714.0,18,1,968.3,4,1,4,9,Nouveaux Clients
12720.0,27,4,1105.33,3,5,5,13,Clients Fidèles
12721.0,27,2,741.62,3,4,4,11,Clients Fidèles
12724.0,56,1,154.9,2,1,1,4,Clients Perdus
12725.0,95,1,427.8,1,1,3,5,Clients Perdus
12726.0,39,2,571.86,3,4,4,11,Clients Fidèles
12727.0,5,4,2007.32,5,5,5,15,Champions
12728.0,8,2,453.26,5,4,3,12,Clients Fidèles
12731.0,36,2,4246.33,3,4,5,12,Clients Fidèles
12734.0,76,1,110.39999999999999,2,1,1,4,Clients Perdus
12735.0,39,2,779.5699999999999,3,4,4,11,Clients Fidèles
12736.0,56,1,234.0,2,1,2,5,Clients Perdus
12738.0,95,1,155.35,1,1,1,3,Clients Perdus
12744.0,42,1,2053.07,3,1,5,9,Clients Ordinaires
12747.0,7,4,1320.09,5,5,5,15,Champions
12748.0,8,44,4983.71,5,5,5,15,Champions
12753.0,6,3,9341.13,5,4,5,14,Champions
12754.0,1,2,61.62,5,4,1,10,Clients Prometteurs
12755.0,4,2,3811.95,5,4,5,14,Champions
12763.0,93,1,320.08,1,1,3,5,Clients Perdus
12764.0,40,1,1693.88,3,1,5,9,Clients Ordinaires
12766.0,15,3,2809.42,4,4,5,13,Champions
12775.0,35,1,214.45,3,1,2,6,Clients Ordinaires
12778.0,36,1,134.48,3,1,1,5,Clients Ordinaires
12779.0,32,3,1198.58,3,4,5,12,Clients Fidèles
12781.0,8,1,549.26,5,1,4,10,Nouveaux Clients
12782.0,41,2,1147.43,3,4,5,12,Clients Fidèles
12785.0,88,1,311.95,1,1,2,4,Clients Perdus
12791.0,97,1,192.60000000000002,1,1,2,4,Clients Perdus
12793.0,58,2,545.48,2,4,4,10,À Risque
12797.0,89,1,254.03,1,1,2,4,Clients Perdus
12808.0,92,1,129.4,1,1,1,3,Clients Perdus
12811.0,8,1,240.25,5,1,2,8,Nouveaux Clients
12817.0,5,1,166.04,5,1,1,7,Nouveaux Clients
12820.0,50,1,170.46,2,1,1,4,Clients Perdus
12823.0,13,2,535.5,4,4,4,12,Champions
12826.0,40,3,697.1,3,4,4,11,Clients Fidèles
12829.0,60,2,293.0,2,4,2,8,Clients Ordinaires
12834.0,6,1,312.38,5,1,2,8,Nouveaux Clients
12836.0,35,1,846.69,3,1,4,8,Clients Ordinaires
12838.0,97,1,390.79,1,1,3,5,Clients Perdus
12839.0,11,3,1089.01,5,4,5,14,Champions
12841.0,1,9,1472.47,5,5,5,15,Champions
12842.0,32,1,310.73,3,1,2,6,Clients Ordinaires
12845.0,14,1,65.09,4,1,1,6,Nouveaux Clients
12852.0,18,1,311.55,4,1,2,7,Nouveaux Clients
12853.0,39,1,427.40000000000003,3,1,3,7,Clients Ordinaires
12854.0,42,1,389.90000000000003,3,1,3,7,Clients Ordinaires
12855.0,96,1,38.1,1,1,1,3,Clients Perdus
12857.0,26,1,801.6,4,1,4,9,Nouveaux Clients
12866.0,7,1,559.12,5,1,4,10,Nouveaux Clients
12867.0,22,2,786.95,4,4,4,12,Champions
12868.0,40,3,673.21,3,4,4,11,Clients Fidèles
12872.0,50,2,599.97,2,4,4,10,À Risque
12873.0,6,1,374.0,5,1,3,9,Nouveaux Clients
12875.0,86,1,293.76000000000005,1,1,2,4,Clients Perdus
12877.0,12,3,329.46000000000004,5,4,3,12,Clients Fidèles
12891.0,16,1,42.0,4,1,1,6,Nouveaux Clients
12897.0,25,1,128.8,4,1,1,6,Nouveaux Clients
12908.0,36,1,318.0,3,1,3,7,Clients Ordinaires
12913.0,6,3,866.39,5,4,4,13,Champions
12915.0,96,1,199.65,1,1,2,4,Clients Perdus
12916.0,44,1,807.05,2,1,4,7,Clients Perdus
12921.0,8,7,3173.38,5,5,5,15,Champions
12924.0,51,1,58.190000000000005,2,1,1,4,Clients Perdus
12928.0,83,1,392.34000000000003,1,1,3,5,Clients Perdus
12929.0,35,1,117.85,3,1,1,5,Clients Ordinaires
12931.0,21,3,1873.4,4,4,5,13,Champions
12933.0,7,1,110.75,5,1,1,7,Nouveaux Clients
12935.0,43,1,431.63,2,1,3,6,Clients Perdus
12939.0,22,2,5309.28,4,4,5,13,Champions
12942.0,89,1,258.75,1,1,2,4,Clients Perdus
12944.0,78,1,286.95,2,1,2,5,Clients Perdus
12945.0,12,1,462.95,5,1,3,9,Nouveaux Clients
12947.0,60,2,605.7,2,4,4,10,À Risque
12951.0,43,2,306.09000000000003,2,4,2,8,Clients Ordinaires
12956.0,30,1,108.07,3,1,1,5,Clients Ordinaires
12957.0,63,1,413.68,2,1,3,6,Clients Perdus
12963.0,89,1,365.8,1,1,3,5,Clients Perdus
12967.0,81,2,1660.9,2,4,5,11,À Risque
12970.0,46,2,23.8,2,4,1,7,Clients Ordinaires
12971.0,7,18,1837.37,5,5,5,15,Champions
12980.0,6,5,3673.7400000000002,5,5,5,15,Champions
12988.0,16,1,505.82,4,1,3,8,Nouveaux Clients
12989.0,22,3,1914.1,4,4,5,13,Champions
12990.0,34,1,97.5,3,1,1,5,Clients Ordinaires
12993.0,22,1,102.89999999999999,4,1,1,6,Nouveaux Clients
12997.0,41,1,305.55,3,1,2,6,Clients Ordinaires
13000.0,88,1,201.75,1,1,2,4,Clients Perdus
13001.0,1,5,4059.81,5,5,5,15,Champions
13002.0,42,1,120.94999999999999,3,1,1,5,Clients Ordinaires
13004.0,8,5,1592.04,5,5,5,15,Champions
13008.0,47,1,229.46999999999997,2,1,2,5,Clients Perdus
13011.0,96,1,50.550000000000004,1,1,1,3,Clients Perdus
13012.0,18,1,377.27000000000004,4,1,3,8,Nouveaux Clients
13013.0,95,2,1528.34,1,4,5,10,À Risque
13014.0,4,1,515.38,5,1,3,9,Nouveaux Clients
13018.0,12,2,642.45,5,4,4,13,Champions
13021.0,82,1,157.35000000000002,2,1,1,4,Clients Perdus
13027.0,78,1,1440.0,2,1,5,8,Clients Perdus
13029.0,77,1,382.5,2,1,3,6,Clients Perdus
13030.0,92,1,402.36,1,1,3,5,Clients Perdus
13033.0,81,1,190.55,2,1,2,5,Clients Perdus
13034.0,93,1,165.86,1,1,1,3,Clients Perdus
13038.0,14,1,395.1,4,1,3,8,Nouveaux Clients
13044.0,15,1,560.47,4,1,4,9,Nouveaux Clients
13047.0,33,4,825.53,3,5,4,12,Clients Fidèles
13048.0,51,1,477.61,2,1,3,6,Clients Perdus
13049.0,42,1,153.78,3,1,1,5,Clients Ordinaires
13050.0,28,7,2129.53,3,5,5,13,Clients Fidèles
13064.0,51,1,203.3,2,1,2,5,Clients Perdus
13065.0,97,1,205.86,1,1,2,4,Clients Perdus
13068.0,43,1,165.0,2,1,1,4,Clients Perdus
13069.0,32,6,1240.09,3,5,5,13,Clients Fidèles
13077.0,14,3,576.19,4,4,4,12,Champions
13078.0,20,5,1994.31,4,5,5,14,Champions
13081.0,12,5,7467.61,5,5,5,15,Champions
13082.0,62,1,379.44,2,1,3,6,Clients Perdus
13085.0,19,1,278.1,4,1,2,7,Nouveaux Clients
13089.0,13,24,15557.62,4,5,5,14,Champions
13090.0,13,5,1796.2,4,5,5,14,Champions
13092.0,1,2,295.65,5,4,2,11,Clients Prometteurs
13093.0,11,7,7527.97,5,5,5,15,Champions
13094.0,6,5,528.96,5,5,4,14,Champions
13097.0,16,3,1663.2,4,4,5,13,Champions
13098.0,28,2,893.6,3,4,4,11,Clients Fidèles
13102.0,32,7,1881.8,3,5,5,13,Clients Fidèles
13104.0,78,1,101.76,2,1,1,4,Clients Perdus
13107.0,57,1,566.84,2,1,4,7,Clients Perdus
13108.0,96,1,350.06,1,1,3,5,Clients Perdus
13110.0,7,2,540.15,5,4,4,13,Champions
13113.0,4,6,2838.74,5,5,5,15,Champions
13117.0,1,4,590.53,5,5,4,14,Champions
13118.0,12,1,190.93,5,1,2,8,Nouveaux Clients
13124.0,83,1,1256.32,1,1,5,7,Clients Perdus
13126.0,62,3,547.31,2,4,4,10,À Risque
13133.0,28,1,52.35,3,1,1,5,Clients Ordinaires
13137.0,32,1,206.63,3,1,2,6,Clients Ordinaires
13138.0,96,1,193.23,1,1,2,4,Clients Perdus
13140.0,90,1,158.26,1,1,1,3,Clients Perdus
13141.0,39,2,524.57,3,4,4,11,Clients Fidèles
13144.0,56,1,110.95,2,1,1,4,Clients Perdus
13145.0,95,1,295.0,1,1,2,4,Clients Perdus
13148.0,37,4,1068.71,3,5,5,13,Clients Fidèles
13149.0,13,1,376.74,4,1,3,8,Nouveaux Clients
13151.0,19,1,1257.8700000000001,4,1,5,10,Nouveaux Clients
13155.0,50,2,569.2,2,4,4,10,À Risque
13157.0,22,1,197.82,4,1,2,7,Nouveaux Clients
13158.0,42,1,256.40999999999997,3,1,2,6,Clients Ordinaires
13161.0,37,1,112.75,3,1,1,5,Clients Ordinaires
13162.0,58,1,753.26,2,1,4,7,Clients Perdus
13165.0,75,1,354.64,2,1,3,6,Clients Perdus
13166.0,7,1,417.2,5,1,3,9,Nouveaux Clients
13168.0,16,2,821.63,4,4,4,12,Champions
13171.0,23,1,140.35,4,1,1,6,Nouveaux Clients
13173.0,91,1,165.94,1,1,1,3,Clients Perdus
13174.0,40,2,2034.06,3,4,5,12,Clients Fidèles
13178.0,19,2,1124.0,4,4,5,13,Champions
13183.0,58,1,625.04,2,1,4,7,Clients Perdus
13184.0,14,1,212.52,4,1,2,7,Nouveaux Clients
13187.0,60,1,236.02,2,1,2,5,Clients Perdus
13198.0,42,2,1184.74,3,4,5,12,Clients Fidèles
13199.0,5,9,1948.96,5,5,5,15,Champions
13208.0,32,1,168.45,3,1,1,5,Clients Ordinaires
13209.0,50,2,430.2,2,4,3,9,À Risque
13211.0,85,1,110.7,1,1,1,3,Clients Perdus
13221.0,83,1,498.16,1,1,3,5,Clients Perdus
13225.0,62,2,2470.44,2,4,5,11,À Risque
13230.0,6,5,786.05,5,5,4,14,Champions
13233.0,60,1,304.24,2,1,2,5,Clients Perdus
13238.0,84,1,91.15,1,1,1,3,Clients Perdus
13240.0,89,1,224.07,1,1,2,4,Clients Perdus
13246.0,16,3,1063.16,4,4,5,13,Champions
13253.0,63,1,476.48,2,1,3,6,Clients Perdus
13255.0,97,1,225.7,1,1,2,4,Clients Perdus
13261.0,9,1,845.1,5,1,4,10,Nouveaux Clients
13263.0,2,2,568.69,5,4,4,13,Champions
13267.0,55,3,933.97,2,4,4,10,À Risque
